op_id	desc	proc	level
0	Operation <0>		
1	top_level <1>	CPU Processor 0x1d00000000000001	2
3	Pending Partition Operation <3>		
4	color_spatial_fields_task <4>	CPU Processor 0x1d00000000000001	3
5	Dependent Partition Operation <5>		
6	KL_expansion_task <6>	CPU Processor 0x1d00000000000001	3
7	init_spatial_task <7>		
8	init_fields_task <8>		
9	loc_solver_task <9>		
10	Advance Operation <10>		
11	Open Operation <11>		
12	Advance Operation <12>		
13	Open Operation <13>		
14	Advance Operation <14>		
15	Open Operation <15>		
16	Post Close Operation <16>		
17	init_fields_task <17>		
18	Post Close Operation <18>		
19	init_fields_task <19>	CPU Processor 0x1d00000000000001	3
20	init_fields_task <20>	CPU Processor 0x1d00000000000001	3
21	init_fields_task <21>	CPU Processor 0x1d00000000000001	3
22	init_fields_task <22>	CPU Processor 0x1d00000000000001	3
23	init_fields_task <23>	CPU Processor 0x1d00000000000001	3
24	Post Close Operation <24>		
25	Post Close Operation <25>		
26	Post Close Operation <26>		
27	Post Close Operation <27>		
28	Post Close Operation <28>		
29	Post Close Operation <29>		
30	Post Close Operation <30>		
31	Post Close Operation <31>		
32	Post Close Operation <32>		
33	Post Close Operation <33>		
34	init_spatial_task <34>		
35	init_spatial_task <35>	CPU Processor 0x1d00000000000001	3
36	init_spatial_task <36>	CPU Processor 0x1d00000000000001	3
37	init_spatial_task <37>	CPU Processor 0x1d00000000000001	3
38	init_spatial_task <38>	CPU Processor 0x1d00000000000001	3
39	init_spatial_task <39>	CPU Processor 0x1d00000000000001	3
40	Post Close Operation <40>		
41	Post Close Operation <41>		
42	Post Close Operation <42>		
43	Post Close Operation <43>		
44	Post Close Operation <44>		
45	loc_solver_task <45>		
46	loc_solver_task <46>	CPU Processor 0x1d00000000000001	3
47	loc_solver_task <47>	CPU Processor 0x1d00000000000001	3
48	loc_solver_task <48>	CPU Processor 0x1d00000000000001	3
49	loc_solver_task <49>	CPU Processor 0x1d00000000000001	3
50	loc_solver_task <50>	CPU Processor 0x1d00000000000001	3
51	updateBC_task <51>		
52	loc_solver_task <52>		
53	updateBC_task <53>		
54	updateBC_task <54>	CPU Processor 0x1d00000000000001	3
55	updateBC_task <55>	CPU Processor 0x1d00000000000001	3
56	updateBC_task <56>	CPU Processor 0x1d00000000000001	3
57	updateBC_task <57>	CPU Processor 0x1d00000000000001	3
58	updateBC_task <58>	CPU Processor 0x1d00000000000001	3
59	Post Close Operation <59>		
60	Post Close Operation <60>		
61	Post Close Operation <61>		
62	Post Close Operation <62>		
63	Post Close Operation <63>		
64	loc_solver_task <64>		
65	loc_solver_task <65>	CPU Processor 0x1d00000000000001	3
66	loc_solver_task <66>	CPU Processor 0x1d00000000000001	3
67	loc_solver_task <67>	CPU Processor 0x1d00000000000001	3
68	loc_solver_task <68>	CPU Processor 0x1d00000000000001	3
69	loc_solver_task <69>	CPU Processor 0x1d00000000000001	3
70	updateBC_task <70>		
71	loc_solver_task <71>		
72	updateBC_task <72>		
73	updateBC_task <73>	CPU Processor 0x1d00000000000001	3
74	updateBC_task <74>	CPU Processor 0x1d00000000000001	3
75	updateBC_task <75>	CPU Processor 0x1d00000000000001	3
76	updateBC_task <76>	CPU Processor 0x1d00000000000001	3
77	updateBC_task <77>	CPU Processor 0x1d00000000000001	3
78	Post Close Operation <78>		
79	Post Close Operation <79>		
80	Post Close Operation <80>		
81	Post Close Operation <81>		
82	Post Close Operation <82>		
83	loc_solver_task <83>		
84	loc_solver_task <84>	CPU Processor 0x1d00000000000001	3
85	loc_solver_task <85>	CPU Processor 0x1d00000000000001	3
86	loc_solver_task <86>	CPU Processor 0x1d00000000000001	3
87	loc_solver_task <87>	CPU Processor 0x1d00000000000001	3
88	loc_solver_task <88>	CPU Processor 0x1d00000000000001	3
89	updateBC_task <89>		
90	loc_solver_task <90>		
91	updateBC_task <91>		
92	updateBC_task <92>	CPU Processor 0x1d00000000000001	3
93	updateBC_task <93>	CPU Processor 0x1d00000000000001	3
94	updateBC_task <94>	CPU Processor 0x1d00000000000001	3
95	updateBC_task <95>	CPU Processor 0x1d00000000000001	3
96	updateBC_task <96>	CPU Processor 0x1d00000000000001	3
97	Post Close Operation <97>		
98	Post Close Operation <98>		
99	Post Close Operation <99>		
100	Post Close Operation <100>		
101	Post Close Operation <101>		
102	loc_solver_task <102>		
103	loc_solver_task <103>	CPU Processor 0x1d00000000000001	3
104	loc_solver_task <104>	CPU Processor 0x1d00000000000001	3
105	loc_solver_task <105>	CPU Processor 0x1d00000000000001	3
106	loc_solver_task <106>	CPU Processor 0x1d00000000000001	3
107	loc_solver_task <107>	CPU Processor 0x1d00000000000001	3
108	updateBC_task <108>		
109	loc_solver_task <109>		
110	updateBC_task <110>		
111	updateBC_task <111>	CPU Processor 0x1d00000000000001	3
112	updateBC_task <112>	CPU Processor 0x1d00000000000001	3
113	updateBC_task <113>	CPU Processor 0x1d00000000000001	3
114	updateBC_task <114>	CPU Processor 0x1d00000000000001	3
115	updateBC_task <115>	CPU Processor 0x1d00000000000001	3
116	Post Close Operation <116>		
117	Post Close Operation <117>		
118	Post Close Operation <118>		
119	Post Close Operation <119>		
120	Post Close Operation <120>		
121	loc_solver_task <121>		
122	loc_solver_task <122>	CPU Processor 0x1d00000000000001	3
123	loc_solver_task <123>	CPU Processor 0x1d00000000000001	3
124	loc_solver_task <124>	CPU Processor 0x1d00000000000001	3
125	loc_solver_task <125>	CPU Processor 0x1d00000000000001	3
126	loc_solver_task <126>	CPU Processor 0x1d00000000000001	3
127	updateBC_task <127>		
128	loc_solver_task <128>		
129	updateBC_task <129>		
130	updateBC_task <130>	CPU Processor 0x1d00000000000001	3
131	updateBC_task <131>	CPU Processor 0x1d00000000000001	3
132	updateBC_task <132>	CPU Processor 0x1d00000000000001	3
133	updateBC_task <133>	CPU Processor 0x1d00000000000001	3
134	updateBC_task <134>	CPU Processor 0x1d00000000000001	3
135	Post Close Operation <135>		
136	Post Close Operation <136>		
137	Post Close Operation <137>		
138	Post Close Operation <138>		
139	Post Close Operation <139>		
140	loc_solver_task <140>		
141	loc_solver_task <141>	CPU Processor 0x1d00000000000001	3
142	loc_solver_task <142>	CPU Processor 0x1d00000000000001	3
143	loc_solver_task <143>	CPU Processor 0x1d00000000000001	3
144	loc_solver_task <144>	CPU Processor 0x1d00000000000001	3
145	loc_solver_task <145>	CPU Processor 0x1d00000000000001	3
146	updateBC_task <146>		
147	loc_solver_task <147>		
148	updateBC_task <148>		
149	updateBC_task <149>	CPU Processor 0x1d00000000000001	3
150	updateBC_task <150>	CPU Processor 0x1d00000000000001	3
151	updateBC_task <151>	CPU Processor 0x1d00000000000001	3
152	updateBC_task <152>	CPU Processor 0x1d00000000000001	3
153	updateBC_task <153>	CPU Processor 0x1d00000000000001	3
154	Post Close Operation <154>		
155	Post Close Operation <155>		
156	Post Close Operation <156>		
157	Post Close Operation <157>		
158	Post Close Operation <158>		
159	loc_solver_task <159>		
160	loc_solver_task <160>	CPU Processor 0x1d00000000000001	3
161	loc_solver_task <161>	CPU Processor 0x1d00000000000001	3
162	loc_solver_task <162>	CPU Processor 0x1d00000000000001	3
163	loc_solver_task <163>	CPU Processor 0x1d00000000000001	3
164	loc_solver_task <164>	CPU Processor 0x1d00000000000001	3
165	updateBC_task <165>		
166	loc_solver_task <166>		
167	updateBC_task <167>		
168	updateBC_task <168>	CPU Processor 0x1d00000000000001	3
169	updateBC_task <169>	CPU Processor 0x1d00000000000001	3
170	updateBC_task <170>	CPU Processor 0x1d00000000000001	3
171	updateBC_task <171>	CPU Processor 0x1d00000000000001	3
172	updateBC_task <172>	CPU Processor 0x1d00000000000001	3
173	Post Close Operation <173>		
174	Post Close Operation <174>		
175	Post Close Operation <175>		
176	Post Close Operation <176>		
177	Post Close Operation <177>		
178	loc_solver_task <178>		
179	loc_solver_task <179>	CPU Processor 0x1d00000000000001	3
180	loc_solver_task <180>	CPU Processor 0x1d00000000000001	3
181	loc_solver_task <181>	CPU Processor 0x1d00000000000001	3
182	loc_solver_task <182>	CPU Processor 0x1d00000000000001	3
183	loc_solver_task <183>	CPU Processor 0x1d00000000000001	3
184	updateBC_task <184>		
185	loc_solver_task <185>		
186	updateBC_task <186>		
187	updateBC_task <187>	CPU Processor 0x1d00000000000001	3
188	updateBC_task <188>	CPU Processor 0x1d00000000000001	3
189	updateBC_task <189>	CPU Processor 0x1d00000000000001	3
190	updateBC_task <190>	CPU Processor 0x1d00000000000001	3
191	updateBC_task <191>	CPU Processor 0x1d00000000000001	3
192	Post Close Operation <192>		
193	Post Close Operation <193>		
194	Post Close Operation <194>		
195	Post Close Operation <195>		
196	Post Close Operation <196>		
197	loc_solver_task <197>		
198	loc_solver_task <198>	CPU Processor 0x1d00000000000001	3
199	loc_solver_task <199>	CPU Processor 0x1d00000000000001	3
200	loc_solver_task <200>	CPU Processor 0x1d00000000000001	3
201	loc_solver_task <201>	CPU Processor 0x1d00000000000001	3
202	loc_solver_task <202>	CPU Processor 0x1d00000000000001	3
203	updateBC_task <203>		
204	loc_solver_task <204>		
205	updateBC_task <205>		
206	updateBC_task <206>	CPU Processor 0x1d00000000000001	3
207	updateBC_task <207>	CPU Processor 0x1d00000000000001	3
208	updateBC_task <208>	CPU Processor 0x1d00000000000001	3
209	updateBC_task <209>	CPU Processor 0x1d00000000000001	3
210	updateBC_task <210>	CPU Processor 0x1d00000000000001	3
211	Post Close Operation <211>		
212	Post Close Operation <212>		
213	Post Close Operation <213>		
214	Post Close Operation <214>		
215	Post Close Operation <215>		
216	loc_solver_task <216>		
217	loc_solver_task <217>	CPU Processor 0x1d00000000000001	3
218	loc_solver_task <218>	CPU Processor 0x1d00000000000001	3
219	loc_solver_task <219>	CPU Processor 0x1d00000000000001	3
220	loc_solver_task <220>	CPU Processor 0x1d00000000000001	3
221	loc_solver_task <221>	CPU Processor 0x1d00000000000001	3
222	updateBC_task <222>		
223	loc_solver_task <223>		
224	updateBC_task <224>		
225	updateBC_task <225>	CPU Processor 0x1d00000000000001	3
226	updateBC_task <226>	CPU Processor 0x1d00000000000001	3
227	updateBC_task <227>	CPU Processor 0x1d00000000000001	3
228	updateBC_task <228>	CPU Processor 0x1d00000000000001	3
229	updateBC_task <229>	CPU Processor 0x1d00000000000001	3
230	Post Close Operation <230>		
231	Post Close Operation <231>		
232	Post Close Operation <232>		
233	Post Close Operation <233>		
234	Post Close Operation <234>		
235	loc_solver_task <235>		
236	loc_solver_task <236>	CPU Processor 0x1d00000000000001	3
237	loc_solver_task <237>	CPU Processor 0x1d00000000000001	3
238	loc_solver_task <238>	CPU Processor 0x1d00000000000001	3
239	loc_solver_task <239>	CPU Processor 0x1d00000000000001	3
240	loc_solver_task <240>	CPU Processor 0x1d00000000000001	3
241	updateBC_task <241>		
242	loc_solver_task <242>		
243	updateBC_task <243>		
244	updateBC_task <244>	CPU Processor 0x1d00000000000001	3
245	updateBC_task <245>	CPU Processor 0x1d00000000000001	3
246	updateBC_task <246>	CPU Processor 0x1d00000000000001	3
247	updateBC_task <247>	CPU Processor 0x1d00000000000001	3
248	updateBC_task <248>	CPU Processor 0x1d00000000000001	3
249	Post Close Operation <249>		
250	Post Close Operation <250>		
251	Post Close Operation <251>		
252	Post Close Operation <252>		
253	Post Close Operation <253>		
254	loc_solver_task <254>		
255	loc_solver_task <255>	CPU Processor 0x1d00000000000001	3
256	loc_solver_task <256>	CPU Processor 0x1d00000000000001	3
257	loc_solver_task <257>	CPU Processor 0x1d00000000000001	3
258	loc_solver_task <258>	CPU Processor 0x1d00000000000001	3
259	loc_solver_task <259>	CPU Processor 0x1d00000000000001	3
260	updateBC_task <260>		
261	loc_solver_task <261>		
262	updateBC_task <262>		
263	updateBC_task <263>	CPU Processor 0x1d00000000000001	3
264	updateBC_task <264>	CPU Processor 0x1d00000000000001	3
265	updateBC_task <265>	CPU Processor 0x1d00000000000001	3
266	updateBC_task <266>	CPU Processor 0x1d00000000000001	3
267	updateBC_task <267>	CPU Processor 0x1d00000000000001	3
268	Post Close Operation <268>		
269	Post Close Operation <269>		
270	Post Close Operation <270>		
271	Post Close Operation <271>		
272	Post Close Operation <272>		
273	loc_solver_task <273>		
274	loc_solver_task <274>	CPU Processor 0x1d00000000000001	3
275	loc_solver_task <275>	CPU Processor 0x1d00000000000001	3
276	loc_solver_task <276>	CPU Processor 0x1d00000000000001	3
277	loc_solver_task <277>	CPU Processor 0x1d00000000000001	3
278	loc_solver_task <278>	CPU Processor 0x1d00000000000001	3
279	updateBC_task <279>		
280	loc_solver_task <280>		
281	updateBC_task <281>		
282	updateBC_task <282>	CPU Processor 0x1d00000000000001	3
283	updateBC_task <283>	CPU Processor 0x1d00000000000001	3
284	updateBC_task <284>	CPU Processor 0x1d00000000000001	3
285	updateBC_task <285>	CPU Processor 0x1d00000000000001	3
