time	count
0.00	0.00
2870.00	1.00
2890.00	0.00
2923.00	1.00
2927.00	0.00
3030.00	1.00
3446.00	0.00
3507.00	1.00
3523.00	0.00
3566.00	1.00
3573.00	0.00
3667.00	1.00
3680.00	0.00
3715.00	1.00
3719.00	0.00
3855.00	1.00
3860.00	0.00
3890.00	1.00
3901.00	0.00
3930.00	1.00
3935.00	0.00
3963.00	1.00
3969.00	0.00
4001.00	1.00
4006.00	0.00
4037.00	1.00
4042.00	0.00
4070.00	1.00
4076.00	0.00
4185.00	1.00
4192.00	0.00
4225.00	1.00
4231.00	0.00
4277.00	1.00
4281.00	0.00
4590.00	1.00
4597.00	0.00
4625.00	1.00
4630.00	0.00
4721.00	1.00
4726.00	0.00
4755.00	1.00
4760.00	0.00
4792.00	1.00
4797.00	0.00
4841.00	1.00
4847.00	0.00
4876.00	1.00
4880.00	0.00
5068.00	1.00
5079.00	0.00
5354.00	1.00
5442.00	0.00
5476.00	1.00
5878.00	0.00
5908.00	1.00
5920.00	0.00
5960.00	1.00
5967.00	0.00
5998.00	1.00
6007.00	0.00
6033.00	1.00
6037.00	0.00
6066.00	1.00
6071.00	0.00
6095.00	1.00
6100.00	0.00
6122.00	1.00
6126.00	0.00
6148.00	1.00
6153.00	0.00
6178.00	1.00
6184.00	0.00
6214.00	1.00
6221.00	0.00
6258.00	1.00
6264.00	0.00
6299.00	1.00
6305.00	0.00
6335.00	1.00
6339.00	0.00
6366.00	1.00
6372.00	0.00
6399.00	1.00
6405.00	0.00
6432.00	1.00
6438.00	0.00
6465.00	1.00
6470.00	0.00
6498.00	1.00
6503.00	0.00
6531.00	1.00
6536.00	0.00
6561.00	1.00
6566.00	0.00
6589.00	1.00
6593.00	0.00
6612.00	1.00
6619.00	0.00
6640.00	1.00
6646.00	0.00
6666.00	1.00
6670.00	0.00
6838.00	1.00
6842.00	0.00
7012.00	1.00
7018.00	0.00
7189.00	1.00
7233.00	0.00
7263.00	1.00
7267.00	0.00
