time	count
0.00	0.00
2755.00	1.00
2787.00	0.00
2814.00	1.00
2872.00	0.00
2898.00	1.00
2986.00	0.00
3012.00	1.00
3016.00	0.00
3253.00	1.00
3293.00	0.00
3335.00	1.00
3361.00	0.00
3390.00	1.00
3581.00	0.00
3614.00	1.00
3785.00	0.00
3810.00	1.00
3820.00	0.00
3841.00	1.00
3851.00	0.00
3877.00	1.00
3887.00	0.00
3914.00	1.00
3925.00	0.00
3954.00	1.00
3965.00	0.00
3998.00	1.00
4026.00	0.00
4055.00	1.00
4111.00	0.00
4132.00	1.00
4152.00	0.00
4173.00	1.00
4237.00	0.00
4265.00	1.00
4521.00	0.00
4544.00	1.00
4591.00	0.00
4618.00	1.00
4643.00	0.00
4665.00	1.00
4697.00	0.00
4719.00	1.00
4747.00	0.00
4776.00	1.00
4805.00	0.00
4829.00	1.00
4842.00	0.00
4871.00	1.00
5311.00	0.00
5337.00	1.00
5418.00	0.00
5446.00	1.00
5481.00	0.00
5502.00	1.00
5526.00	0.00
5546.00	1.00
5596.00	0.00
5616.00	1.00
5659.00	0.00
5678.00	1.00
5700.00	0.00
5720.00	1.00
5735.00	0.00
5754.00	1.00
5788.00	0.00
5808.00	1.00
5841.00	0.00
5878.00	1.00
5917.00	0.00
5950.00	1.00
6000.00	0.00
6028.00	1.00
6060.00	0.00
6088.00	1.00
6247.00	0.00
6277.00	1.00
6315.00	0.00
6342.00	1.00
6354.00	0.00
6381.00	1.00
6391.00	0.00
6419.00	1.00
6430.00	0.00
6457.00	1.00
6469.00	0.00
6498.00	1.00
6510.00	0.00
6537.00	1.00
6556.00	0.00
6583.00	1.00
7627.00	0.00
7658.00	1.00
7705.00	0.00
7735.00	1.00
7777.00	0.00
7805.00	1.00
7852.00	0.00
7877.00	1.00
7908.00	0.00
7930.00	1.00
7974.00	0.00
8004.00	1.00
8033.00	0.00
8055.00	1.00
8073.00	0.00
8092.00	1.00
8115.00	0.00
8142.00	1.00
8172.00	0.00
8198.00	1.00
8225.00	0.00
8263.00	1.00
8289.00	0.00
8311.00	1.00
8329.00	0.00
8350.00	1.00
8377.00	0.00
8403.00	1.00
8426.00	0.00
8456.00	1.00
8484.00	0.00
8505.00	1.00
8586.00	0.00
8608.00	1.00
8623.00	0.00
8642.00	1.00
8667.00	0.00
8696.00	1.00
8718.00	0.00
8744.00	1.00
8766.00	0.00
8802.00	1.00
8824.00	0.00
8847.00	1.00
8863.00	0.00
8882.00	1.00
8911.00	0.00
8940.00	1.00
8964.00	0.00
8992.00	1.00
9018.00	0.00
9044.00	1.00
9074.00	0.00
9097.00	1.00
9121.00	0.00
9145.00	1.00
9173.00	0.00
9199.00	1.00
9226.00	0.00
