level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	2755	2787	#00fff9	1.0	Deferred Enqueue Task	1					282
2	2814	2872	#fdff00	1.0	Scheduler	0					284
2	2898	2986	#ff4a00	1.0	Task Physical Dependence Analysis	1					575
2	3012	3016	#FFC0CB	1.0	ProfTask <1>						591
2	3253	3293	#00ff63	1.0	Logical Dependence Analysis	3					3795
2	3335	3361	#333399	1.0	Deferred Ready Trigger	3					3796
2	3390	3581	#00ff63	1.0	Logical Dependence Analysis	4					3797
2	3614	3785	#ff9800	1.0	Operation Physical Dependence Analysis	3					3798
2	3810	3820	#31ff00	1.0	Tighten Index Space	3					3799
2	3841	3851	#31ff00	1.0	Tighten Index Space	3					3800
2	3877	3887	#31ff00	1.0	Tighten Index Space	3					3801
2	3914	3925	#31ff00	1.0	Tighten Index Space	3					3802
2	3954	3965	#31ff00	1.0	Tighten Index Space	3					3803
2	3998	4026	#333399	1.0	Deferred Ready Trigger	4					3804
2	4055	4111	#fdff00	1.0	Scheduler	0					3805
2	4132	4152	#333399	1.0	Deferred Ready Trigger	6					3806
2	4173	4237	#fdff00	1.0	Scheduler	0					3807
2	4265	4521	#00ff63	1.0	Logical Dependence Analysis	7					3808
2	4544	4591	#333399	1.0	Deferred Ready Trigger	13					3809
2	4618	4643	#333399	1.0	Deferred Ready Trigger	15					3810
2	4665	4697	#333399	1.0	Deferred Ready Trigger	12					3811
2	4719	4747	#333399	1.0	Deferred Ready Trigger	14					3812
2	4776	4805	#333399	1.0	Deferred Ready Trigger	8					3813
2	4829	4842	#ca00ff	1.0	Prepipeline Stage	5					3814
2	4871	5035	#ff4a00	1.0	Task Physical Dependence Analysis	4					3815
2	5035	5082	#ff4a00	0.15	Task Physical Dependence Analysis (waiting)	4					3815
2	5082	5131	#ff4a00	0.45	Task Physical Dependence Analysis (ready)	4					3815
2	5131	5311	#ff4a00	1.0	Task Physical Dependence Analysis	4					3815
1	4894	5199	#00deff	1.0	Mapper Call map_task for 4	4					588
2	5337	5418	#ff4a00	1.0	Task Physical Dependence Analysis	6					3816
2	5446	5481	#00ff63	1.0	Logical Dependence Analysis	16					3817
2	5502	5526	#333399	1.0	Deferred Ready Trigger	16					3818
2	5546	5596	#ff9800	1.0	Operation Physical Dependence Analysis	8					3819
2	5616	5659	#fdff00	1.0	Scheduler	0					3820
2	5678	5700	#006600	1.0	Post-Task Execution	4					3821
2	5720	5735	#d0ff00	1.0	Deferred Post-Task Execution	4					3822
2	5754	5788	#ff9800	1.0	Operation Physical Dependence Analysis	16					3823
2	5808	5841	#990000	1.0	Deferred Post Mapped	4					3824
2	5878	5917	#333399	1.0	Deferred Ready Trigger	5					3825
2	5950	6000	#cdff00	1.0	Trigger Complete	4					3826
2	6028	6060	#00ff63	1.0	Logical Dependence Analysis	18					3827
2	6088	6247	#ff9800	1.0	Operation Physical Dependence Analysis	5					3828
2	6277	6315	#333399	1.0	Deferred Ready Trigger	18					3829
2	6342	6354	#31ff00	1.0	Tighten Index Space	5					3830
2	6381	6391	#31ff00	1.0	Tighten Index Space	5					3831
2	6419	6430	#31ff00	1.0	Tighten Index Space	5					3832
2	6457	6469	#31ff00	1.0	Tighten Index Space	5					3833
2	6498	6510	#31ff00	1.0	Tighten Index Space	5					3834
2	6537	6556	#0000FF	1.0	Deferred Execute	5					3835
2	6583	6816	#ff4a00	1.0	Task Physical Dependence Analysis	17					3836
2	6816	6855	#ff4a00	0.15	Task Physical Dependence Analysis (waiting)	17					3836
2	6855	6886	#ff4a00	0.45	Task Physical Dependence Analysis (ready)	17					3836
2	6886	6971	#ff4a00	1.0	Task Physical Dependence Analysis	17					3836
2	6971	6996	#ff4a00	0.15	Task Physical Dependence Analysis (waiting)	17					3836
2	6996	7024	#ff4a00	0.45	Task Physical Dependence Analysis (ready)	17					3836
2	7024	7627	#ff4a00	1.0	Task Physical Dependence Analysis	17					3836
1	6744	7045	#00deff	1.0	Mapper Call map_task for 19	19					589
2	7658	7705	#00ff63	1.0	Logical Dependence Analysis	24					3837
2	7735	7777	#00ff63	1.0	Logical Dependence Analysis	26					3838
2	7805	7852	#00ff63	1.0	Logical Dependence Analysis	28					3839
2	7877	7908	#00ff63	1.0	Logical Dependence Analysis	30					3840
2	7930	7974	#00ff63	1.0	Logical Dependence Analysis	32					3841
2	8004	8033	#333399	1.0	Deferred Ready Trigger	24					3842
